,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2021-2022,2022-2023,2023-2024,2023-2024,9 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Tondela (6 stagioni),Atlético (3 stagioni),Kasımpaşa (1 stagione),Atlas (1 stagione),,Primeira Liga (6 stagioni),Liga MX (3 stagioni),Süper Lig (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2015-2016,19,Tondela,pt POR,1. Primeira Liga,16°,15.0,,,,,,,,,,,,,,,,Partite
2016-2017,20,Tondela,pt POR,1. Primeira Liga,16°,27.2,,,,,,,0,,,,,,,,,Partite
2017-2018,21,Kasımpaşa,tr TUR,1. Süper Lig,8°,16.3,,,,,,,9,,,,,,,,,Partite
2018-2019,22,Tondela,pt POR,1. Primeira Liga,15°,20.4,457,432,23,2,0,1,30,10,0,0,0,0,360,2,8,Partite
2019-2020,23,Tondela,pt POR,1. Primeira Liga,14°,25.5,653,608,44,8,2,12,20,36,0,0,0,0,501,1,21,Partite
2020-2021,24,Tondela,pt POR,1. Primeira Liga,12°,21.6,685,605,75,8,1,8,24,58,1,0,0,0,533,5,20,Partite
2021-2022,25,Tondela,pt POR,1. Primeira Liga,17°,11.9,303,293,9,0,1,1,17,9,0,0,0,0,231,1,5,Partite
2021-2022,25,Atlético,mx MEX,1. Liga MX,12°,12.2,276,260,13,0,2,4,16,8,5,0,0,0,202,3,7,Partite
2022-2023,26,Atlético,mx MEX,1. Liga MX,11°,25.6,629,612,16,3,5,3,32,13,0,0,0,0,465,1,24,Partite
2023-2024,27,Atlético,mx MEX,1. Liga MX,9°,14.6,455,445,8,0,4,1,19,8,0,0,0,0,380,2,17,Partite
2023-2024,27,Atlas,mx MEX,1. Liga MX,16°,5.2,179,167,12,2,1,1,16,10,0,0,0,0,149,0,3,Partite
9 stagioni,4 club,,3 campionati,,195.7,3637,3422,200,23,16,31,183,152,6,0,0,0,2821,15,105,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Tondela (6 stagioni),,1 campionato,,121.7,2098,1938,151,18,4,22,91,113,1,0,0,0,1625,9,54,
Atlético (3 stagioni),,1 campionato,,52.5,1360,1317,37,3,11,8,67,29,5,0,0,0,1047,6,48,
Kasımpaşa (1 stagione),,1 campionato,,16.3,,,,,,,9,,,,,,,,,
Atlas (1 stagione),,1 campionato,,5.2,179,167,12,2,1,1,16,10,0,0,0,0,149,0,3,
,,,,,,,,,,,,,,,,,,,,
Primeira Liga (6 stagioni),,,,121.7,2098,1938,151,18,4,22,91,113,1,0,0,0,1625,9,54,
Liga MX (3 stagioni),,,,57.7,1539,1484,49,5,12,9,83,39,5,0,0,0,1196,6,51,
Süper Lig (1 stagione),,,,16.3,,,,,,,9,,,,,,,,,
