,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2017,2018,2019,2020,2021,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Beijing Guoan (3 stagioni),Jeonbuk (2 stagioni),Napoli (1 stagione),Fenerbahçe (1 stagione),Bayern Munich (1 stagione),,Super League (3 stagioni),K League (2 stagioni),Serie A (1 stagione),Süper Lig (1 stagione),Bundesliga (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2017,20,Jeonbuk,kr KOR,1. K League,1°,27.9,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2018,21,Jeonbuk,kr KOR,1. K League,1°,20.7,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2019,22,Beijing Guoan,cn CHN,1. Super League,2°,24.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2020,23,Beijing Guoan,cn CHN,1. Super League,3°,10.8,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2021,24,Beijing Guoan,cn CHN,1. Super League,3°,1.9,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2021-2022,24,Fenerbahçe,tr TUR,1. Süper Lig,2°,29.6,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2022-2023,25,Napoli,it ITA,1. Serie A,1°,33.9,2552,2812,"90,8",46165,17303,1026,1090,"94,1",1269,1347,"94,2",214,295,"72,5",2,1.9,0.9,+0.1,10,201,8,2,169,Partite
2023-2024,26,Bayern Munich,de GER,1. Bundesliga,2°,17.7,1635,1763,"92,7",27692,10739,704,739,"95,3",835,876,"95,3",81,113,"71,7",1,0.4,0.4,+0.6,8,111,2,0,111,Partite
7 stagioni,5 club,,5 campionati,,166.5,4187,4575,"91,5",73857,28042,1730,1829,"94,6",2104,2223,"94,6",295,408,"72,3",3,2.3,1.3,+0.7,18,312,10,2,280,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Beijing Guoan (3 stagioni),,1 campionato,,36.7,,,,,,,,,,,,,,,0,,,,,,,,,
Jeonbuk (2 stagioni),,1 campionato,,48.5,,,,,,,,,,,,,,,0,,,,,,,,,
Napoli (1 stagione),,1 campionato,,33.9,2552,2812,"90,8",46165,17303,1026,1090,"94,1",1269,1347,"94,2",214,295,"72,5",2,1.9,0.9,+0.1,10,201,8,2,169,
Fenerbahçe (1 stagione),,1 campionato,,29.6,,,,,,,,,,,,,,,0,,,,,,,,,
Bayern Munich (1 stagione),,1 campionato,,17.7,1635,1763,"92,7",27692,10739,704,739,"95,3",835,876,"95,3",81,113,"71,7",1,0.4,0.4,+0.6,8,111,2,0,111,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Super League (3 stagioni),,,,36.7,,,,,,,,,,,,,,,0,,,,,,,,,
K League (2 stagioni),,,,48.5,,,,,,,,,,,,,,,0,,,,,,,,,
Serie A (1 stagione),,,,33.9,2552,2812,"90,8",46165,17303,1026,1090,"94,1",1269,1347,"94,2",214,295,"72,5",2,1.9,0.9,+0.1,10,201,8,2,169,
Süper Lig (1 stagione),,,,29.6,,,,,,,,,,,,,,,0,,,,,,,,,
Bundesliga (1 stagione),,,,17.7,1635,1763,"92,7",27692,10739,704,739,"95,3",835,876,"95,3",81,113,"71,7",1,0.4,0.4,+0.6,8,111,2,0,111,
