,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2020-2021,2021-2022,2022-2023,2023-2024,8 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Sassuolo (3 stagioni),Marseille (3 stagioni),Fiorentina (2 stagioni),Frosinone (1 stagione),Elche (1 stagione),,Serie A (6 stagioni),Ligue 1 (3 stagioni),La Liga (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2016-2017,18,Sassuolo,it ITA,1. Serie A,12°,17.2,,31,,,,,,,,,,,25,,,,Partite
2017-2018,19,Sassuolo,it ITA,1. Serie A,11°,22.5,34,21,26,6,2,20,35,"57,1",15,11,4,7,28,62,88,1,Partite
2018-2019,20,Sassuolo,it ITA,1. Serie A,11°,33.1,35,22,19,11,5,21,34,"61,8",13,25,5,20,32,67,89,0,Partite
2019-2020,21,Fiorentina,it ITA,1. Serie A,10°,29.4,34,20,18,10,6,21,38,"55,3",17,16,4,12,26,60,52,0,Partite
2020-2021,22,Fiorentina,it ITA,1. Serie A,13°,5.5,13,8,8,2,3,6,12,"50,0",6,6,3,3,6,19,9,0,Partite
2020-2021,22,Marseille,fr FRA,1. Ligue 1,5°,17.3,28,16,11,15,2,16,28,"57,1",12,18,5,13,25,53,26,0,Partite
2021-2022,23,Marseille,fr FRA,1. Ligue 1,2°,19.7,28,16,15,9,4,13,28,"46,4",15,15,0,15,13,41,22,0,Partite
2022-2023,24,Elche,es ESP,1. La Liga,20°,7.0,13,6,9,3,1,8,13,"61,5",5,3,2,1,7,20,16,0,Partite
2023-2024,25,Frosinone,it ITA,1. Serie A,16°,7.5,11,5,4,6,1,5,15,"33,3",10,8,0,8,10,21,18,0,Partite
8 stagioni,5 club,,3 campionati,,159.1,196,145,110,62,24,110,203,"54,2",93,102,23,79,172,343,320,1,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Sassuolo (3 stagioni),,1 campionato,,72.8,69,74,45,17,7,41,69,"59,4",28,36,9,27,85,129,177,1,
Marseille (3 stagioni),,1 campionato,,36.9,56,32,26,24,6,29,56,"51,8",27,33,5,28,38,94,48,0,
Fiorentina (2 stagioni),,1 campionato,,35.0,47,28,26,12,9,27,50,"54,0",23,22,7,15,32,79,61,0,
Frosinone (1 stagione),,1 campionato,,7.5,11,5,4,6,1,5,15,"33,3",10,8,0,8,10,21,18,0,
Elche (1 stagione),,1 campionato,,7.0,13,6,9,3,1,8,13,"61,5",5,3,2,1,7,20,16,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (6 stagioni),,,,115.2,127,107,75,35,17,73,134,"54,5",61,66,16,50,127,229,256,1,
Ligue 1 (3 stagioni),,,,36.9,56,32,26,24,6,29,56,"51,8",27,33,5,28,38,94,48,0,
La Liga (1 stagione),,,,7.0,13,6,9,3,1,8,13,"61,5",5,3,2,1,7,20,16,0,
