,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2009-2010,2010-2011,2011-2012,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,15 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Wolfsburg (6 stagioni),Torino (4 stagioni),Milan (3 stagioni),Zürich (3 stagioni),PSV Eindhoven (1 stagione),,Serie A (7 stagioni),Bundesliga (6 stagioni),Super Lg (3 stagioni),Eredivisie (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2009-2010,16,Zürich,ch SUI,1. Super Lg,7°,4.7,,,,,,,,,,,,,,,,Partite
2010-2011,17,Zürich,ch SUI,1. Super Lg,2°,11.3,,,,,,,,,,,,,,,,
2011-2012,18,Zürich,ch SUI,1. Super Lg,6°,16.0,,,,,,,,,,,,,,,,Partite
2011-2012,18,Wolfsburg,de GER,1. Bundesliga,8°,17.0,,,,,,,,,,,,,,,,Partite
2012-2013,19,Wolfsburg,de GER,1. Bundesliga,11°,19.0,,,,,,,,,,,,,,,,Partite
2013-2014,20,Wolfsburg,de GER,1. Bundesliga,5°,34.0,,,,,,,,,,,,,,,,Partite
2014-2015,21,Wolfsburg,de GER,1. Bundesliga,2°,25.4,,,,,,,,,,,,,,,,Partite
2015-2016,22,Wolfsburg,de GER,1. Bundesliga,8°,23.0,,,,,,,,,,,,,,,,Partite
2016-2017,23,Wolfsburg,de GER,1. Bundesliga,16°,22.4,,,,,,,93,,,,,,,,,Partite
2017-2018,24,Milan,it ITA,1. Serie A,6°,33.4,2090,1837,244,29,0,43,120,214,1,1,0,0,1739,9,46,Partite
2018-2019,25,Milan,it ITA,1. Serie A,5°,33.9,2192,1861,323,51,1,43,86,264,8,0,8,0,1845,8,41,Partite
2019-2020,26,Milan,it ITA,1. Serie A,6°,4.3,270,235,35,6,0,8,5,29,0,0,0,0,233,0,4,Partite
2019-2020,26,PSV Eindhoven,nl NED,1. Eredivisie,4°,5.0,282,229,53,3,1,5,19,46,4,0,3,0,208,0,6,Partite
2020-2021,27,Torino,it ITA,1. Serie A,17°,13.8,719,638,77,17,0,16,20,59,1,1,0,0,600,4,14,Partite
2021-2022,28,Torino,it ITA,1. Serie A,10°,27.5,1469,1374,86,31,1,22,65,8,46,28,17,0,1247,9,22,Partite
2022-2023,29,Torino,it ITA,1. Serie A,10°,29.7,1757,1602,145,40,0,18,71,87,13,10,3,0,1439,10,31,Partite
2023-2024,30,Torino,it ITA,1. Serie A,10°,21.9,1195,1130,63,20,0,9,28,24,5,1,4,0,1006,2,5,Partite
15 stagioni,5 club,,4 campionati,,342.2,9974,8906,1026,197,3,164,507,731,78,41,35,0,8317,42,169,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Wolfsburg (6 stagioni),,1 campionato,,140.9,,,,,,,93,,,,,,,,,
Torino (4 stagioni),,1 campionato,,92.8,5140,4744,371,108,1,65,184,178,65,40,24,0,4292,25,72,
Milan (3 stagioni),,1 campionato,,71.5,4552,3933,602,86,1,94,211,507,9,1,8,0,3817,17,91,
Zürich (3 stagioni),,1 campionato,,32.0,,,,,,,,,,,,,,,,
PSV Eindhoven (1 stagione),,1 campionato,,5.0,282,229,53,3,1,5,19,46,4,0,3,0,208,0,6,
,,,,,,,,,,,,,,,,,,,,
Serie A (7 stagioni),,,,164.4,9692,8677,973,194,2,159,395,685,74,41,32,0,8109,42,163,
Bundesliga (6 stagioni),,,,140.9,,,,,,,93,,,,,,,,,
Super Lg (3 stagioni),,,,32.0,,,,,,,,,,,,,,,,
Eredivisie (1 stagione),,,,5.0,282,229,53,3,1,5,19,46,4,0,3,0,208,0,6,
