Giocatore,Giocatore,cm,kg,Pres,Min,Cont,Inter,Falli,Fuorig,Spaz,Drib,Respinte,Autogol,Rating
"1Marten de Roon32,  Di(C),MC","Marten de Roon 32,  Di(C),MC",186,76,34(1),2966,2.2,1,1.3,0.1,1.6,1.3,0.1,-,6.78
"2Rafael Tolói33,  Di(C)","Rafael Tolói 33,  Di(C)",185,75,32,2791,2.2,1.8,1.2,0.3,2.7,0.9,0.6,-,6.82
"3Éderson24,  Cc(C)","Éderson 24,  Cc(C)",182,83,25(10),2226,1.9,1,0.8,-,0.7,1.1,0.2,-,6.71
"4Giorgio Scalvini20,  Di(C)","Giorgio Scalvini 20,  Di(C)",194,0,29(3),2346,1.7,1.8,1.7,0.1,1.7,0.9,0.4,-,6.63
"5Davide Zappacosta31,  Di(SD),Cc(SD)","Davide Zappacosta 31,  Di(SD),Cc(SD)",185,70,18(3),1479,1.6,0.4,0.9,-,0.7,0.3,0.1,-,6.80
"6José Palomino34,  Di(C)","José Palomino 34,  Di(C)",188,87,8(7),755,1.5,1.9,0.6,0.3,1.1,0.6,0.3,1,6.59
"7Merih Demiral25,  Di(C)","Merih Demiral 25,  Di(C)",192,86,14(14),1525,1.5,0.9,0.5,0.5,1.9,0.4,0.3,-,6.57
"8Berat Djimsiti31,  Di(C)","Berat Djimsiti 31,  Di(C)",190,83,20(4),1799,1.4,1.5,0.6,0.3,3.1,0.3,0.3,-,6.71
"9Teun Koopmeiners26,  Di(C),Cc(C)","Teun Koopmeiners 26,  Di(C),Cc(C)",184,77,32(1),2861,1.4,0.6,1.5,0.1,1,0.8,0.2,-,7.11
"10Caleb Okoli22,  Di(C)","Caleb Okoli 22,  Di(C)",191,91,9(8),953,1.2,1.8,0.9,-,2.6,0.9,0.3,-,6.54
"11Hans Hateboer30,  Di(D),Cc(D)","Hans Hateboer 30,  Di(D),Cc(D)",185,72,17,1402,1.2,0.7,1.1,-,1.3,1,0.2,-,6.67
"12Matteo Ruggeri21,  Cc(S)","Matteo Ruggeri 21,  Cc(S)",187,69,8(7),823,1.1,0.8,0.7,-,0.9,0.6,0.2,-,6.57
"13Nadir Zortea24,  Di(D),Cc(S)","Nadir Zortea 24,  Di(D),Cc(S)",175,70,1(8),214,1.1,-,0.4,0.1,0.4,0.1,-,-,6.53
"14Tommaso De Nipoti20,  Forward","Tommaso De Nipoti 20,  Forward",0,0,0(1),2,1,-,-,-,-,-,-,-,6.44
"15Joakim Mæhle26,  Di(SD),Cc(SD)","Joakim Mæhle 26,  Di(SD),Cc(SD)",185,79,25(9),2214,0.9,0.7,0.5,-,0.6,0.5,0.2,-,6.50
"16Ruslan Malinovskyi30,  Cc(CSD),AC","Ruslan Malinovskyi 30,  Cc(CSD),AC",181,79,5(10),548,0.9,0.3,0.7,-,0.1,0.7,0.1,-,6.57
"17Mario Pasalic29,  Cc(CSD),AC","Mario Pasalic 29,  Cc(CSD),AC",188,82,24(8),1789,0.7,0.7,0.8,-,0.4,0.5,0.1,-,6.52
"18Brandon Soppy22,  Di(D),Cc(SD)","Brandon Soppy 22,  Di(D),Cc(SD)",181,0,8(7),650,0.5,0.2,1.2,0.1,0.3,0.4,-,-,6.37
"19Ademola Lookman26,  CO(CSD),AC","Ademola Lookman 26,  CO(CSD),AC",174,71,20(11),1737,0.4,0.1,0.8,-,-,0.4,-,-,6.91
"20Jérémie Boga27,  CO(CSD),AC","Jérémie Boga 27,  CO(CSD),AC",172,68,5(18),770,0.4,-,0.2,-,-,0.2,-,-,6.78
"21Duván Zapata32,  AC","Duván Zapata 32,  AC",189,88,16(9),1393,0.3,0.2,0.7,-,0.6,0.1,0.1,-,6.51
"22Luis Muriel32,  CO(CS),AC","Luis Muriel 32,  CO(CS),AC",179,79,10(19),1071,0.3,0.1,0.6,-,0.1,0.4,-,-,6.50
"23Rasmus Højlund21,  AC","Rasmus Højlund 21,  AC",191,79,20(12),1836,0.1,-,0.7,-,0.2,0.2,-,-,6.67
"24Marco Sportiello31,  POR","Marco Sportiello 31,  POR",192,87,14(1),1340,0.1,-,-,-,0.7,0.1,-,-,6.54
"25Juan Musso29,  POR","Juan Musso 29,  POR",191,93,24,2078,-,-,-,-,0.5,-,-,1,6.58
"26Francesco Rossi32,  Goalkeeper","Francesco Rossi 32,  Goalkeeper",193,83,0(1),2,-,-,-,-,-,-,-,-,6.26
"27Lukas Vorlicky22,  Forward","Lukas Vorlicky 22,  Forward",186,0,0(3),23,-,0.3,-,-,-,-,-,-,6.22
